2, 2, 2
2, 2, 4
2, 2, 6
2, 2, 8
2, 2, 10
2, 2, 12
2, 2, 14
2, 2, 16
2, 2, 18
2, 2, 20
2, 2, 22
2, 2, 24
2, 2, 26
2, 2, 28
2, 2, 30
2, 2, 32
2, 2, 34
2, 2, 36
2, 2, 38
2, 2, 40
2, 2, 42
2, 2, 44
2, 2, 46
2, 2, 48
2, 2, 50
2, 2, 52
2, 2, 54
2, 2, 56
2, 2, 58
2, 2, 60
2, 2, 62
2, 2, 64
2, 2, 66
2, 2, 68
2, 2, 70
2, 2, 72
2, 2, 74
2, 2, 76
2, 2, 78
2, 2, 80
2, 2, 82
2, 2, 84
2, 2, 86
2, 2, 88
2, 2, 90
2, 2, 92
2, 2, 94
2, 2, 96
2, 2, 98
2, 2, 100
2, 3, 1
2, 3, 5
2, 3, 7
2, 3, 11
2, 3, 13
2, 3, 17
2, 3, 19
2, 3, 23
2, 3, 25
2, 3, 29
2, 3, 31
2, 3, 35
2, 3, 37
2, 3, 41
2, 3, 43
2, 3, 47
2, 3, 49
2, 3, 53
2, 3, 55
2, 3, 59
2, 3, 61
2, 3, 65
2, 3, 67
2, 3, 71
2, 3, 73
2, 3, 77
2, 3, 79
2, 3, 83
2, 3, 85
2, 3, 89
2, 3, 91
2, 3, 95
2, 3, 97
3, 3, 3
3, 3, 6
3, 3, 9
3, 3, 12
3, 3, 15
3, 3, 18
3, 3, 21
3, 3, 24
3, 3, 27
3, 3, 30
3, 3, 33
3, 3, 36
3, 3, 39
3, 3, 42
3, 3, 45
3, 3, 48
3, 3, 51
3, 3, 54
3, 3, 57
3, 3, 60
3, 3, 63
3, 3, 66
3, 3, 69
3, 3, 72
3, 3, 75
3, 3, 78
3, 3, 81
3, 3, 84
3, 3, 87
3, 3, 90
3, 3, 93
3, 3, 96
3, 3, 99
5, 5, 5
5, 5, 10
5, 5, 15
5, 5, 20
5, 5, 25
5, 5, 30
5, 5, 35
5, 5, 40
5, 5, 45
5, 5, 50
5, 5, 55
5, 5, 60
5, 5, 65
5, 5, 70
5, 5, 75
5, 5, 80
5, 5, 85
5, 5, 90
5, 5, 95
5, 5, 100
7, 7, 7
7, 7, 14
7, 7, 21
7, 7, 28
7, 7, 35
7, 7, 42
7, 7, 49
7, 7, 56
7, 7, 63
7, 7, 70
7, 7, 77
7, 7, 84
7, 7, 91
7, 7, 98
11, 11, 11
11, 11, 22
11, 11, 33
11, 11, 44
11, 11, 55
11, 11, 66
11, 11, 77
11, 11, 88
11, 11, 99
13, 13, 13
13, 13, 26
13, 13, 39
13, 13, 52
13, 13, 65
13, 13, 78
13, 13, 91
17, 17, 17
17, 17, 34
17, 17, 51
17, 17, 68
17, 17, 85
19, 19, 19
19, 19, 38
19, 19, 57
19, 19, 76
19, 19, 95
23, 23, 23
23, 23, 46
23, 23, 69
23, 23, 92
29, 29, 29
29, 29, 58
29, 29, 87
31, 31, 31
31, 31, 62
31, 31, 93
37, 37, 37
37, 37, 74
41, 41, 41
41, 41, 82
43, 43, 43
43, 43, 86
47, 47, 47
47, 47, 94
53, 53, 53
59, 59, 59
61, 61, 61
67, 67, 67
71, 71, 71
73, 73, 73
79, 79, 79
83, 83, 83
89, 89, 89
97, 97, 97
